;0;1;2;3
413;RPAD6;ALFA HOLDINGS SA;ALFA HOLDINGS SA;17.167.396/0001-69
414;RPMG3;REFINARIA DE PETROLEOS MANGUINHOS SA;REFINARIA PET MANGUINHOS SA;33.412.081/0001-96
415;RSID3;ROSSI RESIDENCIAL SA;ROSSI RESIDENCIAL SA;61.065.751/0001-80
416;RSUL4;METALURGICA RIOSULENSE SA;METALURGICA RIOSULENSE SA;85.778.074/0001-06
417;SANB3;BANCO SANTANDER (BRASIL) SA;BANCO SANTANDER (BRASIL) SA;90.400.888/0001-42
418;SANB4;BANCO SANTANDER (BRASIL) SA;BANCO SANTANDER (BRASIL) SA;90.400.888/0001-42
419;SANY6;SANYO DA AMAZONIA SA;BANCO DA AMAZONIA SA;04.902.979/0001-44
420;SAPR3;CIA SANEAMENTO DO PARANASANEPAR;CIA DE SANEAMENTO DO PARANA SANEPAR;76.484.013/0001-45
421;SAPR4;CIA SANEAMENTO DO PARANASANEPAR;CIA DE SANEAMENTO DO PARANA SANEPAR;76.484.013/0001-45
422;SBSP3;CIA SANEAMENTO BASICO EST SAO PAULO;CIA SANEAMENTO BASICO ESTADO SAO PAULO;43.776.517/0001-80
423;SCAR3;SAO CARLOS EMPREEND E PARTICIPACOES SA;SAO CARLOS EMPREENDS E PARTICIPACOES SA;29.780.061/0001-09
424;SGPS3;SPRINGS GLOBAL PARTICIPACOES SA;SPRINGS GLOBAL PARTICIPACOES SA;07.718.269/0001-57
425;SHOW3;T4F ENTRETENIMENTO SA;T4F ENTRETENIMENTO SA;02.860.694/0001-62
426;SHUL4;SCHULZ SA;SCHULZ SA;84.693.183/0001-68
427;SIMR7;SIDERURGICA NORTE BRASIL SA;SIDERURGICA ACONORTE SA;10.807.923/0001-03
428;SMLS3;SMILES FIDELIDADE SA;SMILES FIDELIDADE SA;05.730.375/0001-20
429;SNSY3;SANSUY SA INDUSTRIA DE PLASTICOS;SANSUY SA IND DE PLASTICOS;61.070.678/0001-35
430;SNSY5;SANSUY SA INDUSTRIA DE PLASTICOS;SANSUY SA IND DE PLASTICOS;61.070.678/0001-35
431;SNSY6;SANSUY SA INDUSTRIA DE PLASTICOS;SANSUY SA IND DE PLASTICOS;61.070.678/0001-35
432;SOND3;SONDOTECNICA ENGENHARIA SOLOS SA;SONDOTECNICA ENGENHARIA DE SOLOS SA;33.386.210/0001-19
433;SOND5;SONDOTECNICA ENGENHARIA SOLOS SA;SONDOTECNICA ENGENHARIA DE SOLOS SA;33.386.210/0001-19
434;SOND6;SONDOTECNICA ENGENHARIA SOLOS SA;SONDOTECNICA ENGENHARIA DE SOLOS SA;33.386.210/0001-19
435;SPCI6;SOCIEDADE DE PARTICIP CIMENTEIRAS SA;SOCIEDADE PART CIMENTEIRAS SA;01.624.528/0001-02
436;SPRI5;SPRINGER SA;SPRINGER SA;92.929.520/0001-00
437;SQIA3;SINQIA SA;SINQIA SA;04.065.791/0001-99
438;STKF3;STATKRAFT ENERGIAS RENOVAVEIS SA;STATKRAFT ENERGIAS RENOVAVEIS SA;00.622.416/0001-41
439;STTR3;STARA SAINDUSTRIA DE IMPLEMENTOS AGRICOLAS;STARA SA INDUSTRIA DE IMPLEMENTOS AGRICOLAS;91.495.499/0001-00
440;SULA4;SUL AMERICA SA;SUL AMERICA SA;29.978.814/0001-87
441;TAEE3;TRANSMISSORA ALIANCA DE ENERGIA ELETRICA SA;TRANSMISSORA ALIANCA DE ENERGIA ELETRICA SA;07.859.971/0001-30
442;TAEE4;TRANSMISSORA ALIANCA DE ENERGIA ELETRICA SA;TRANSMISSORA ALIANCA DE ENERGIA ELETRICA SA;07.859.971/0001-30
443;TASA4;TAURUS ARMAS SA;TAURUS ARMAS SA;92.781.335/0001-02
444;TECN3;TECHNOS SA;TECHNOS SA;09.295.063/0001-97
445;TEKA3;TEKA-TECELAGEM KUEHNRICH SA;TEKA TECELAGEM KUEHNRICH SA EM RECUPERACAO JUDICIAL;82.636.986/0001-55
446;TEKA4;TEKA-TECELAGEM KUEHNRICH SA;TEKA TECELAGEM KUEHNRICH SA EM RECUPERACAO JUDICIAL;82.636.986/0001-55
447;TELB4;TELEC BRASILEIRAS SA TELEBRAS;TELEC BRASILEIRAS SA TELEBRAS;00.336.701/0001-04
448;TESA3;TERRA SANTA AGRO SA;TERRA SANTA AGRO SA;05.799.312/0001-20
449;TIET3;AES TIETE ENERGIA SA;AES TIETE SA;02.998.609/0001-27
